userid,password,biriyani,dosa,naan,tandoori_chicken,chapati,bhel_puri,chutney,sambar,burger,pizza,sandwich,pancake,hotdog,ice_cream,cheeseburger,hot_wings,fries,coke,sauce,sushi,fried_rice,pasta,salad,steak,chicken_curry,fried_chicken,lassi,samosa,smoothie,fruit_salad,grilled_fish,falafel,shawarma,Alfam,Kabsa,Mandi,Kuboos,Kabab
price,n2#3@@e@d,199,10,15,299,12,49,29,29,189,299,169,196,99,69,259,299,99,69,9,198,189,149,99,499,219,599,99,29,149,189,259,90,159,449,399,799,15,199
usr1,password123,12,4,2,0,3,1,2,2,1,15,12,20,1,25,0,0,20,18,9,2,1,3,5,1,0,0,16,14,12,14,0,6,0,0,0,0,0,0
usr2,mypassword,5,5,6,0,7,4,3,4,25,30,18,22,18,30,24,0,20,25,13,5,16,4,6,5,0,0,3,3,3,5,5,4,0,0,0,0,0,0
usr3,securepass,4,3,2,0,8,9,4,5,10,15,8,10,9,15,12,0,10,17,4,3,5,6,6,7,0,0,4,5,5,5,0,7,0,0,0,0,0,0
blesson,m121,5,4,4,0,3,2,6,1,10,6,10,8,12,2,1,0,3,5,2,1,4,5,7,0,0,0,3,3,3,1,0,6,0,0,0,0,0,0
usr4,pass456,7,9,12,0,9,6,5,5,22,30,18,18,16,28,18,0,18,15,5,6,7,8,9,0,7,0,7,6,7,8,10,0,0,0,0,0,0,0
usr5,secretpass,10,7,11,0,12,7,6,5,28,35,19,22,19,30,23,0,21,15,6,7,8,9,10,0,0,0,8,9,10,12,10,0,0,0,0,0,0,0
usr6,topsecret,30,32,24,0,27,24,8,14,5,8,7,9,7,9,7,0,7,4,7,3,6,5,8,0,0,0,4,4,5,6,0,6,0,0,0,0,0,0
usr7,mysecret,25,30,22,0,23,22,8,12,2,3,2,2,2,6,2,0,3,6,3,4,5,6,8,0,0,0,10,10,8,9,0,8,0,0,0,0,0,0
usr8,password99,20,25,18,0,22,20,9,14,0,9,2,10,0,13,1,0,10,10,9,3,2,5,6,0,8,0,5,4,4,6,1,8,0,0,0,0,0,0
usr9,hiddenpass,28,25,20,0,22,20,11,16,10,12,9,14,12,18,12,0,12,4,4,5,8,6,9,0,8,9,10,0,7,9,11,0,0,0,0,0,0,0
mk,12l,16,18,16,0,18,16,9,16,4,10,6,12,2,12,9,0,10,8,2,4,5,6,8,0,5,5,6,5,5,5,0,7,9,9,8,10,9,12
usr10,pass1234,32,30,26,0,28,26,12,20,7,12,12,16,14,20,14,0,13,6,5,6,8,7,9,0,0,0,10,9,8,10,11,0,10,14,16,18,12,5
klk,klk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kk,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jsd,kl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sdd,dds,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
